데이터 고유번호,장소명,위도,경도,우편번호,위치,좌표계값,데이터 상세보기 URL,데이터기준일자
367,세심재,33.501626,126.514125,63184,제주특별자치도 제주시 용담일동 2822-18,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=367,9/12/2022
427,고봉례묘,33.506644,126.563633,63304,제주특별자치도 제주시 화북 2동 4301번지,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=427,9/12/2022
428,용담동 고분유적,33.501738,126.509924,63162,제주특별자치도 제주시 용담이동 2696-2외 20필지,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=428,9/12/2022
433,하원리 분묘군,33.277524,126.470685,63553,제주특별자치도 서귀포시 하원동 21,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=433,9/12/2022
447,예래동 고인돌군,33.254677,126.390212,63537,제주특별자치도 서귀포시 상예동 1514,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=447,9/12/2022
452,식산봉,33.465678,126.919965,63639,제주특별자치도 서귀포시 성산읍 오조리 318-4,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=452,9/12/2022
489,법환 잠녀 문화마을,33.235212,126.514523,63573,제주특별자치도 서귀포시 법환동 208-4 법환어촌체험마을,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=489,9/12/2022
491,종달리패총,33.494381,126.893463,63364,제주특별자치도 제주시 구좌읍 종달리 1838-3,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=491,9/12/2022
519,하논,33.252969,126.545738,63570,제주특별자치도 서귀포시 서홍동 1003,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=519,9/12/2022
521,가시오름,33.24703,126.24332,63505,제주특별자치도 서귀포시 대정읍 동일리 1706,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=521,9/12/2022
525,자구내 도대불,33.309483,126.164381,63008,제주특별자치도 제주시 한경면 고산리 3616-18,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=525,9/12/2022
526,법환포구,33.237225,126.515758,63573,제주특별자치도 서귀포시 막숙포로37번길 2,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=526,9/12/2022
538,베릿내 오름,33.247143,126.421961,63546,제주특별자치도 서귀포시 중문동 2314-2,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=538,9/12/2022
541,입산봉,33.548239,126.753786,63357,제주특별자치도 제주시 구좌읍 김녕리 2121,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=541,9/12/2022
576,화천사,33.506904,126.6102,63329,제주특별자치도 제주시 회천동 2390-3,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=576,9/12/2022
578,미럭당,33.499445,126.536842,63216,제주특별자치도 제주시 이도이동 379-6,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=578,9/12/2022
583,법화사지,33.263572,126.459529,63553,제주특별자치도 서귀포시 하원동 1071-1,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=583,9/12/2022
591,새미물,33.506984,126.61061,63329,제주특별자치도 제주시 회천동 2390-3,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=591,9/12/2022
594,금산,33.433925,126.330672,63035,제주특별자치도 제주시 애월읍 납읍리 1457-1,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=594,9/12/2022
600,존자암,33.3477,126.481982,63554,제주특별자치도 서귀포시 하원동 산1-1,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=600,9/12/2022
