No.,지역,신당명,주소,NOTES,소유권,상태,지목,비고
1,구좌읍,동복리 본향 굴묵밧할망당,동복리1 759,,국가,,도로,
2,구좌읍,김녕 본향 사장빌레큰당,김녕리 21 21,도로에 포함됨,국가,,도로,대위자-제주도
3,구좌읍,동김녕 궤눼깃당,김녕리 21 21,도로에 포함됨,국가,폐당,도로,대위자-제주도
4,구좌읍,동김녕리 성세깃당,김녕리 571 -2,,제주도,,임야,
5,구좌읍,서김녕 본향 노모리동산 일뤠당,김녕리 3417,,개인,,전,김녕리 거주
6,구좌읍,서김녕리 서문하르방당,,해변,-,,,
7,구좌읍,월정 본향 서당머체큰당,월정리 1 79-8,,제주도,,임야,
8,구좌읍,월정리 서당,,GPS 오류,,,,
9,구좌읍,월정리 베롱개 해신당,월정리 774-4,,국가,,잡종 지,
10,구좌읍,행원리 본향 큰당,행원리 573-6,,제주도,,임야,
11,구좌읍,행원리 남당,,해변,-,,,
12,구좌읍,한동 본향 괴로본산국당,한동리 21 23,,개인,,임야,경기도 거주
13,구좌읍,한동 망애물 해신당,한동리 1 387-2,,국가,,도로,
14,구좌읍,평대 본향 신선백관 하르방당,한동리 656,,"개인, 공동",,임야,"상속, 서울․ 경상남도 거주"
15,구좌읍,평대(서동) 본향수대깃당,한동리 656,,"개인, 공동",,임야,"상속, 서울․ 경상남도 거주"
16,구좌읍,평대(동동) 수대깃당,평대리 975,,개인,,전,"증여, 평대리 거주"
17,구좌읍,평대리 갯마리 일뤠당,,해변,,,,주소 없음
18,구좌읍,세화리 본향 천자또 산신당,세화리 1 049-2,,개인,,도로,"상속, 제주시 거주"
19,구좌읍,세화리 고는곶 일뤠,세화리 1 049-2,,개인,,도로,"상속, 제주시 거주"
20,구좌읍,세화리 갯것할망당,,해변,,,,
21,구좌읍,상도리 본향 막음질 일뤠할망당,상도리 202,,제주도,,임야,
22,구좌읍,하도리 본향 삼싱불도할망당,하도리 2884,,개인,,,부산 거주
23,구좌읍,하도리 각시당,하도리 450-3,,국가,,임야,
24,구좌읍,하도리 남당,하도리 1 778,,제주도,폐당,전,공공용지 협의 취득
25,구좌읍,하도리 면수동 본향 여씨불도할망당,하도리 3359-1 9,,마을,,"건물, 임야",하도리 면수동 새마을회
