ID,region,shrine_name,raw_address,combined_address,resolved_address,latitude,longitude,status,ownership_raw,상태,ownership_standardized,validated_address_ko,validated_road_address_ko,validated_jibun_address_ko,address_validation_status,address_validation_source
1,구좌읍,동복리 본향 굴묵밧할망당,동복리1 759,구좌읍 동복리1 759,"1759 Dongbok-ri, Gujwa-eup, Cheju, Jeju-do, South Korea",33.5494717,126.7170891,resolved,국가,,국가,제주특별자치도 제주시 구좌읍 동복리 863,NULL,제주특별자치도 제주시 구좌읍 동복리 863,validated,kakao_coord2address
2,구좌읍,김녕 본향 사장빌레큰당,김녕리 21 21,구좌읍 김녕리 21 21,"2121 Gimnyeong-ri, Gujwa-eup, Cheju, Jeju-do, South Korea",33.5507592,126.752818,resolved,국가,,국가,제주특별자치도 제주시 구좌읍 김녕리 1771,NULL,제주특별자치도 제주시 구좌읍 김녕리 1771,validated,kakao_coord2address
3,구좌읍,동김녕 궤눼깃당,김녕리 21 21,구좌읍 김녕리 21 21,"2121 Gimnyeong-ri, Gujwa-eup, Cheju, Jeju-do, South Korea",33.5507592,126.752818,resolved,국가,폐당,국가,제주특별자치도 제주시 구좌읍 김녕리 1771,NULL,제주특별자치도 제주시 구좌읍 김녕리 1771,validated,kakao_coord2address
4,구좌읍,동김녕리 성세깃당,김녕리 571 -2,구좌읍 김녕리 571 -2,제주특별자치도 제주시 구좌읍 김녕리 571-2,33.55446325,126.7587613,resolved,제주도,,국가,제주특별자치도 제주시 구좌읍 김녕리 571-2,NULL,제주특별자치도 제주시 구좌읍 김녕리 571-2,validated,kakao_coord2address
5,구좌읍,서김녕 본향 노모리동산 일뤠당,김녕리 3417,구좌읍 김녕리 3417,제주특별자치도 제주시 구좌읍 김녕리 3417,33.55486877,126.7428952,resolved,개인,,개인,제주특별자치도 제주시 구좌읍 김녕리 3417,NULL,제주특별자치도 제주시 구좌읍 김녕리 3417,validated,kakao_coord2address
6,구좌읍,서김녕리 서문하르방당,NULL,NULL,NULL,NULL,NULL,unresolved,-,,미상,NULL,NULL,NULL,unresolved,kakao_coord2address
7,구좌읍,월정 본향 서당머체큰당,월정리 1 79-8,구좌읍 월정리 1 79-8,"179-8 Woljeong-ri, Gujwa-eup, Cheju, Jeju-do, South Korea",33.5487733,126.7930352,resolved,제주도,,국가,제주특별자치도 제주시 구좌읍 월정리 179-8,NULL,제주특별자치도 제주시 구좌읍 월정리 179-8,validated,kakao_coord2address
8,구좌읍,월정리 서당,NULL,NULL,NULL,NULL,NULL,unresolved,NULL,,미상,NULL,NULL,NULL,unresolved,kakao_coord2address
9,구좌읍,월정리 베롱개 해신당,월정리 774-4,구좌읍 월정리 774-4,제주특별자치도 제주시 구좌읍 월정리 774-4,33.56031149,126.7909184,resolved,국가,,국가,제주특별자치도 제주시 구좌읍 월정리 774-4,NULL,제주특별자치도 제주시 구좌읍 월정리 774-4,validated,kakao_coord2address
10,구좌읍,행원리 본향 큰당,행원리 573-6,구좌읍 행원리 573-6,제주특별자치도 제주시 구좌읍 행원리 573-6,33.55909319,126.8138032,resolved,제주도,,국가,제주특별자치도 제주시 구좌읍 행원리 573-6,NULL,제주특별자치도 제주시 구좌읍 행원리 573-6,validated,kakao_coord2address
11,구좌읍,행원리 남당,NULL,NULL,NULL,NULL,NULL,unresolved,-,,미상,NULL,NULL,NULL,unresolved,kakao_coord2address
12,구좌읍,한동 본향 괴로본산국당,한동리 21 23,구좌읍 한동리 21 23,"2123 Handong-ri, Gujwa-eup, Cheju, Jeju-do, South Korea",33.5296553,126.819512,resolved,개인,,개인,제주특별자치도 제주시 구좌읍 한동리 2123,NULL,제주특별자치도 제주시 구좌읍 한동리 2123,validated,kakao_coord2address
13,구좌읍,한동 망애물 해신당,한동리 1 387-2,구좌읍 한동리 1 387-2,"1387-2 Handong-ri, Gujwa-eup, Cheju, Jeju-do, South Korea",33.5429614,126.8287006,resolved,국가,,국가,NULL,NULL,NULL,unresolved,kakao_coord2address
14,구좌읍,평대 본향 신선백관 하르방당,한동리 656,구좌읍 한동리 656,제주특별자치도 제주시 구좌읍 한동리 656,33.52498801,126.8284467,resolved,"개인, 공동",,공동,제주특별자치도 제주시 구좌읍 한동리 656,NULL,제주특별자치도 제주시 구좌읍 한동리 656,validated,kakao_coord2address
